Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
67,32,POL,CZE,Tatra-928,Diesel engine,1000,Poland,Czechoslovakia,0.02,20.0,20.0,-12.843791,-24.545272,19.145136,51.919438
67,86,ROM,CZE,L-29 Delfin,Trainer aircraft,52,Romania,Czechoslovakia,1.0,52.0,52.0,-12.843791,-24.545272,24.96676,45.943161
67,53,SUD,CZE,OT-64C,APC,40,Sudan,Czechoslovakia,0.22,8.8,8.8,-12.843791,-24.545272,30.217636,12.862807
67,82,SYR,CZE,L-29 Delfin,Trainer aircraft,77,Syria,Czechoslovakia,1.0,77.0,77.0,-12.843791,-24.545272,38.996815,34.802075
67,35,USR,CZE,L-29 Delfin,Trainer aircraft,2500,Soviet Union,Czechoslovakia,1.0,2500.0,2500.0,-12.843791,-24.545272,65.865034,-25.559085
67,80,VN,CZE,L-29 Delfin,Trainer aircraft,12,Vietnam,Czechoslovakia,1.0,12.0,12.0,-12.843791,-24.545272,108.277199,14.058324
67,96,YUG,CZE,M-53/59 Praga,SPAAG,789,Yugoslavia,Czechoslovakia,0.65,512.85,512.85,-12.843791,-24.545272,65.865034,-25.559085
90,75,LYA,EGY,T-34-85,Tank,65,Libya,Egypt,0.38,24.7,24.7,30.802498,26.820553,17.228331,26.3351
90,60,NIG,EGY,MiG-17,Fighter aircraft,31,Nigeria,Egypt,1.4,43.4,43.4,30.802498,26.820553,8.675277,9.081999
76,64,ISR,FIN,M-58 160mm,Mortar,50,Israel,Finland,0.15,7.5,7.5,25.748151,61.92411,34.851612,31.046051
76,64,ISR,FIN,M-73 120mm,Mortar,100,Israel,Finland,0.05,5.0,5.0,25.748151,61.92411,34.851612,31.046051
56,17,ALG,FRA,CM-170 Magister,Trainer aircraft,28,Algeria,France,1.0,28.0,28.0,2.213749,46.227638,1.659626,28.033886
56,9,ARG,FRA,AML-60/90,Armoured car,50,Argentina,France,0.35,17.5,17.5,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-13/75,Light tank,58,Argentina,France,0.9,52.2,52.2,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-13-PDP,ABL,2,Argentina,France,0.6,1.2,1.2,2.213749,46.227638,-63.616672,-38.416097
56,9,ARG,FRA,AMX-VCI,APC,180,Argentina,France,0.25,45.0,45.0,2.213749,46.227638,-63.616672,-38.416097
56,94,AST,FRA,Aubisque,Turbofan,80,Austria,France,0.5,40.0,40.0,2.213749,46.227638,14.550072,47.516231
56,22,BEL,FRA,Mirage-5,FGA aircraft,88,Belgium,France,12.0,1056.0,1056.0,2.213749,46.227638,4.469936,50.503887
56,22,BEL,FRA,SA-313B Alouette-2,Light helicopter,6,Belgium,France,0.7,4.2,4.2,2.213749,46.227638,4.469936,50.503887
56,11,BF,FRA,Commander,Light transport ac,1,Burkina Faso,France,0.5,0.5,0.5,2.213749,46.227638,-1.561593,12.238333
56,46,COL,FRA,AM-50 120mm,Mortar,123,Colombia,France,0.05,6.15,6.15,2.213749,46.227638,-74.297333,4.570868
56,95,CON,FRA,DC-3/C-47 Skytrain,Transport aircraft,2,Congo,France,1.0,2.0,2.0,2.213749,46.227638,21.758664,-4.038333
56,7,ETH,FRA,SA-316B Alouette-3,Light helicopter,5,Ethiopia,France,0.9,4.5,4.5,2.213749,46.227638,40.489673,9.145
56,23,FRG,FRA,AS-20,ASM,1500,Germany,France,0.08,120.0,120.0,2.213749,46.227638,10.451526,51.165691
56,23,FRG,FRA,AS-30,ASM,320,Germany,France,0.15,48.0,48.0,2.213749,46.227638,10.451526,51.165691
56,23,FRG,FRA,RATAC,Ground surv radar,77,Germany,France,0.18,13.86,13.86,2.213749,46.227638,10.451526,51.165691
56,23,FRG,FRA,SS-11,Anti-tank missile,17500,Germany,France,0.01,175.0,175.0,2.213749,46.227638,10.451526,51.165691
56,34,GAB,FRA,SA-316B Alouette-3,Light helicopter,1,Gabon,France,0.9,0.9,0.9,2.213749,46.227638,11.609444,-0.803689
56,44,IND,FRA,AM-50 120mm,Mortar,500,India,France,0.05,25.0,25.0,2.213749,46.227638,78.96288,20.593684
56,44,IND,FRA,Palmier,Air search radar,6,India,France,12.5,75.0,75.0,2.213749,46.227638,78.96288,20.593684
56,44,IND,FRA,SA-316B Alouette-3,Light helicopter,330,India,France,0.9,297.0,297.0,2.213749,46.227638,78.96288,20.593684
56,44,IND,FRA,SS-11,Anti-tank missile,1836,India,France,0.01,18.36,18.36,2.213749,46.227638,78.96288,20.593684
56,16,IRA,FRA,SS-11,Anti-tank missile,1000,Iran,France,0.01,10.0,10.0,2.213749,46.227638,53.688046,32.427908
56,16,IRA,FRA,SS-12,Anti-tank missile,1000,Iran,France,0.01,10.0,10.0,2.213749,46.227638,53.688046,32.427908
56,8,IRE,FRA,AML-60/90,Armoured car,20,Ireland,France,0.35,7.0,7.0,2.213749,46.227638,-8.24389,53.41291
56,24,IRQ,FRA,AML-60/90,Armoured car,75,Iraq,France,0.35,26.25,26.25,2.213749,46.227638,43.679291,33.223191
56,24,IRQ,FRA,AS-30,ASM,70,Iraq,France,0.15,10.5,10.5,2.213749,46.227638,43.679291,33.223191
56,64,ISR,FRA,Jericho-1,SSM,100,Israel,France,1.75,175.0,175.0,2.213749,46.227638,34.851612,31.046051
56,64,ISR,FRA,THD-1040 Neptune,Air/sea search radar,6,Israel,France,3.0,18.0,18.0,2.213749,46.227638,34.851612,31.046051
56,62,IVO,FRA,Cessna-150,Trainer/light ac,3,Cote d'Ivoire,France,0.1,0.3,0.3,2.213749,46.227638,65.865034,-25.559085
56,62,IVO,FRA,Cessna-337/O-2,Light aircraft,3,Cote d'Ivoire,France,0.35,1.05,1.05,2.213749,46.227638,65.865034,-25.559085
56,62,IVO,FRA,SA-330 Puma,Helicopter,1,Cote d'Ivoire,France,6.0,6.0,6.0,2.213749,46.227638,65.865034,-25.559085
56,33,MOR,FRA,CM-170 Magister,Trainer aircraft,24,Morocco,France,1.0,24.0,24.0,2.213749,46.227638,-7.09262,31.791702
56,73,MRA,FRA,AML-60/90,Armoured car,30,Mauritania,France,0.35,10.5,10.5,2.213749,46.227638,-10.940835,21.00789
56,41,MYA,FRA,SA-316B Alouette-3,Light helicopter,11,Myanmar,France,0.9,9.9,9.9,2.213749,46.227638,65.865034,-25.559085
56,28,NET,FRA,Atlantic,ASW aircraft,9,Netherlands,France,27.0,243.0,243.0,2.213749,46.227638,5.291266,52.132633
56,39,PAK,FRA,AM-50 120mm,Mortar,225,Pakistan,France,0.05,11.25,11.25,2.213749,46.227638,69.345116,30.375321
56,39,PAK,FRA,Daphnթ,Submarine,3,Pakistan,France,55.0,165.0,165.0,2.213749,46.227638,69.345116,30.375321
56,39,PAK,FRA,E14 550mm,AS torpedo,20,Pakistan,France,1.0,20.0,20.0,2.213749,46.227638,69.345116,30.375321
56,39,PAK,FRA,E-15 550mm,AS torpedo,20,Pakistan,France,1.0,20.0,20.0,2.213749,46.227638,69.345116,30.375321
56,39,PAK,FRA,L3 550mm,ASW torpedo,20,Pakistan,France,1.0,20.0,20.0,2.213749,46.227638,69.345116,30.375321
56,88,POR,FRA,EDIC,Landing craft,2,Portugal,France,14.0,28.0,28.0,2.213749,46.227638,-8.224454,39.399872
56,88,POR,FRA,M-3 VTT,APC,6,Portugal,France,0.16,0.96,0.96,2.213749,46.227638,-8.224454,39.399872
56,88,POR,FRA,SA-316B Alouette-3,Light helicopter,80,Portugal,France,0.9,72.0,72.0,2.213749,46.227638,-8.224454,39.399872
56,88,POR,FRA,SA-316B Alouette-3,Light helicopter,99,Portugal,France,0.9,89.1,89.1,2.213749,46.227638,-8.224454,39.399872
56,89,SA,FRA,AML-60/90,Armoured car,416,South Africa,France,0.35,145.6,145.6,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,C-160 Transall,Transport aircraft,9,South Africa,France,20.0,180.0,180.0,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,Daphnթ,Submarine,3,South Africa,France,55.0,165.0,165.0,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,Jupiter,Air search radar,3,South Africa,France,7.5,22.5,22.5,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,Mirage-3E,FGA aircraft,20,South Africa,France,11.2,224.0,224.0,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,SA-316B Alouette-3,Light helicopter,3,South Africa,France,0.9,2.7,2.7,2.213749,46.227638,22.937506,-30.559482
56,89,SA,FRA,SA-330 Puma,Helicopter,20,South Africa,France,6.0,120.0,120.0,2.213749,46.227638,22.937506,-30.559482
56,77,SAU,FRA,AML-60/90,Armoured car,235,Saudi Arabia,France,0.35,82.25,82.25,2.213749,46.227638,45.079162,23.885942
56,77,SAU,FRA,M-3 VTT,APC,150,Saudi Arabia,France,0.16,24.0,24.0,2.213749,46.227638,45.079162,23.885942
56,65,SIN,FRA,SA-316B Alouette-3,Light helicopter,4,Singapore,France,0.9,3.6,3.6,2.213749,46.227638,103.819836,1.352083
56,27,SPA,FRA,AMX-30B,Tank,19,Spain,France,1.8,34.2,34.2,2.213749,46.227638,-3.74922,40.463667
56,27,SPA,FRA,Steam turbine,Steam engine,6,Spain,France,10.0,60.0,60.0,2.213749,46.227638,-3.74922,40.463667
56,79,SWE,FRA,M-20/Rb-08A,Anti-ship missile,103,Sweden,France,0.75,77.25,77.25,2.213749,46.227638,18.643501,60.128161
56,37,SWI,FRA,AS-30,ASM,225,Switzerland,France,0.15,33.75,33.75,2.213749,46.227638,8.227512,46.818188
56,37,SWI,FRA,Mirage-3E,FGA aircraft,56,Switzerland,France,9.7,543.2,543.2,2.213749,46.227638,8.227512,46.818188
