buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
IRE,CAN,DHC-1 Chipmunk,Trainer aircraft,8,Ireland,Canada,0.12,0.96,0.96,-106.346771,56.130366,-8.24389,53.41291
KOS,CAN,T-6 Texan,Trainer aircraft,10,South Korea,Canada,0.32,3.2,3.2,-106.346771,56.130366,127.766922,35.907757
LEB,CAN,DHC-1 Chipmunk,Trainer aircraft,3,Lebanon,Canada,0.12,0.36,0.36,-106.346771,56.130366,35.862285,33.854721
PER,CAN,DHC-2 Beaver,Light aircraft,4,Peru,Canada,0.38,1.52,1.52,-106.346771,56.130366,-75.015152,-9.189967
POR,CAN,Bangor,Minesweeper,1,Portugal,Canada,7.2,7.2,7.2,-106.346771,56.130366,-8.224454,39.399872
THA,CAN,DHC-1 Chipmunk,Trainer aircraft,18,Thailand,Canada,0.12,2.16,2.16,-106.346771,56.130366,100.992541,15.870032
USA,CAN,DHC-2 Beaver,Light aircraft,900,United States,Canada,0.38,342,342,-106.346771,56.130366,-95.712891,37.09024
EGY,CZE,Bu-181 Bestmann,Trainer aircraft,150,Egypt,Czechoslovakia,0.1,15,15,-12.843791,-24.545272,30.802498,26.820553
ETH,CZE,AH-IV-Hb,Light tank,20,Ethiopia,Czechoslovakia,0.08,1.6,1.6,-12.843791,-24.545272,40.489673,9.145
GDR,CZE,Fi-156 Storch,Light aircraft,10,Germany,Czechoslovakia,0.048,0.48,0.48,-12.843791,-24.545272,10.451526,51.165691
SWI,CZE,PzJ-38(t) Hetzer,Self-propelled gun,90,Switzerland,Czechoslovakia,0.5,45,45,-12.843791,-24.545272,8.227512,46.818188
ISR,FRA,M-3/M-5 Half-track,APC,100,Israel,France,0.06,6,6,2.213749,46.227638,34.851612,31.046051
SYR,FRA,Ju-52/3m,Transport aircraft,7,Syria,France,0.684,4.788,4.788,2.213749,46.227638,38.996815,34.802075
ARG,ITA,G-46,Trainer aircraft,15,Argentina,Italy,0.32,4.8,4.8,12.56738,41.87194,-63.616672,-38.416097
EGY,ITA,C-205V Veltro,Fighter aircraft,12,Egypt,Italy,1.94,23.28,23.28,12.56738,41.87194,30.802498,26.820553
EGY,ITA,C-205V Veltro,Fighter aircraft,18,Egypt,Italy,1.94,34.92,34.92,12.56738,41.87194,30.802498,26.820553
LEB,ITA,SM-79 Sparviero,Transport aircraft,3,Lebanon,Italy,1.65,4.95,4.95,12.56738,41.87194,35.862285,33.854721
SYR,ITA,G-46,Trainer aircraft,20,Syria,Italy,0.32,6.4,6.4,12.56738,41.87194,38.996815,34.802075
SYR,ITA,G-55A,Fighter aircraft,30,Syria,Italy,1.6,48,48,12.56738,41.87194,38.996815,34.802075
USR,ITA,Soldati,Destroyer,1,Russia,Italy,36,36,36,12.56738,41.87194,105.318756,61.52401
INS,NET,Alkai,Patrol craft,9,Indonesia,Netherlands,4.53,40.77,40.77,5.291266,52.132633,113.921327,-0.789275
INS,NET,Auster AOP,Light aircraft,22,Indonesia,Netherlands,0.028,0.616,0.616,5.291266,52.132633,113.921327,-0.789275
INS,NET,B-25 Mitchell,Bomber aircraft,42,Indonesia,Netherlands,2,84,84,5.291266,52.132633,113.921327,-0.789275
INS,NET,Bathurst,Minesweeper/corvette,2,Indonesia,Netherlands,9,18,18,5.291266,52.132633,113.921327,-0.789275
INS,NET,C-60A Lodestar,Transport aircraft,10,Indonesia,Netherlands,0.528,5.28,5.28,5.291266,52.132633,113.921327,-0.789275
INS,NET,Cub/L-4 Grasshopper,Light aircraft,63,Indonesia,Netherlands,0.02,1.26,1.26,5.291266,52.132633,113.921327,-0.789275
INS,NET,DC-3/C-47 Skytrain,Transport aircraft,34,Indonesia,Netherlands,1,34,34,5.291266,52.132633,113.921327,-0.789275
INS,NET,LCI(L),Landing craft,5,Indonesia,Netherlands,4.32,21.6,21.6,5.291266,52.132633,113.921327,-0.789275
INS,NET,P-51D Mustang,Fighter aircraft,26,Indonesia,Netherlands,0.8,20.8,20.8,5.291266,52.132633,113.921327,-0.789275
INS,NET,PBY-5A Catalina,MP aircraft,8,Indonesia,Netherlands,1.24,9.92,9.92,5.291266,52.132633,113.921327,-0.789275
INS,NET,T-6 Texan,Trainer aircraft,16,Indonesia,Netherlands,0.128,2.048,2.048,5.291266,52.132633,113.921327,-0.789275
ITA,NET,DC-3/C-47 Skytrain,Transport aircraft,4,Italy,Netherlands,1,4,4,5.291266,52.132633,12.56738,41.87194
POR,NOR,Ju-52/3m,Transport aircraft,2,Portugal,Norway,0.684,1.368,1.368,8.468946,60.472024,-8.224454,39.399872
SWI,SWE,M/40 105mm,Towed gun,234,Switzerland,Sweden,0.45,105.3,105.3,18.643501,60.128161,8.227512,46.818188
AUS,UK,Battle,Destroyer,2,Australia,United Kingdom,117.5,235,235,-3.435973,55.378051,133.775136,-25.274398
AUS,UK,Lincoln,Bomber aircraft,29,Australia,United Kingdom,4.9,142.1,142.1,-3.435973,55.378051,133.775136,-25.274398
AUS,UK,Meteor,Fighter aircraft,99,Australia,United Kingdom,3,297,297,-3.435973,55.378051,133.775136,-25.274398
AUS,UK,Sea Fury,Fighter aircraft,24,Australia,United Kingdom,2,48,48,-3.435973,55.378051,133.775136,-25.274398
